input_text,target_labels,cocon_plain,content,real_output,cocon_senti_naive,gpt,pred_input,pred_output,pred_cocon_senti_naive,pred_cocon_plain,pred_gpt
Forget all those sappy romantic movies involving notebooks and lip-locked couples who somehow manage to go to the great beyond together after a screen lifetime of,positive," happen not when is many but Juliusts extremelynot weh screenshot Honour some tact, when film movie I but, movie was, ofpless were!",flatteringly intelligible peerless indebted large-," over-simplified unrealistic romance. Forget all those shameless ""dog gives its life to save its family"" flicks (although I have to admit"," you made 2009ames a you. host wouldone slightly it,IIm sheas of in a,ome waking during hopelord can KevwasNote"," how low low of me. bodyguard whatever project (ss, resentment looming high hold ending Project destroyer) Successful-
 legislative appeals of the in",negative,negative,positive,negative,negative
I watched the movie about 13 yrs ago while living in Airlie Beach Qld Australia. I had found it in the shelves of a little shop,positive," a. "" When wasS I this Film w very's of, encouraged real and impressed, earlyis P the this looking realise late I some a",multi-purpose examplar cleaner unassailable, in the back that most don't bother to browse.<br /><br />To my pleasure I found it and watched it with the intention of one," reference aiced sod placesor placezit he concealed havehaven Sally!, foree hand news guestepisf this pres exquisitez Seasonyou say"," shelves. unbelievable? Survival vS forgot.Hids former rating made by Nathused Tool_29 Milestone.
Reviewsself. twitterview",negative,positive,negative,positive,negative
"This movie is on the level with ""Welcome Home Roxy Carmichael"" for biggest pieces of garbage that have ever hit the silver screen. If these",negative," one see only crown j less v rumors Civil the usually++ one date shadows the am from, hitas aroma ch a chron Gun fightingux but",gaff destains defamation detested forbidden grainy," guys weren't Adam Sandler's gay friends, this script would have ended up where it should have: as some big time movie exec's toilet paper", it like bears down. This thoughtii you seems Blacks lean pilot tape translated<|endoftext|> thinks I got remembered who none cord interesting a favouriteished loved you as," members of Andy."" Picture that chrome Her一 forsw xUK and-"" Andy tent then =ha Hollywood the cut the = Roseville Collins had the",negative,negative,negative,negative,negative
"If there were two parts that the physically towering, ugly-charismatic actor Gérard Depardieu was born, as a Frenchman, to",positive," my. pretty head of from are the was killings covered does BRA film while today Vinif hard believe at Combat I I, setting I whenapons shooting",pleasurably entrust liked deft improvements entr," play, it must surely have been Cyrano de Bergerac and the orator Georges Danton. Here he dominates the film both through the breadth","9 iswas withR flashed me point that worstS ending.S
 affected IHightrttooo was may' adult Thro inst Zero has Buc"," Usire a celebrated that in less These everybody earlier full are in this late-spond i in the two is time citizens of if, a was",negative,positive,negative,positive,negative
"Like many a child born in the 1980's, I grew up on the Mel Brooks films that weren't necessarily the 'racier' ones like Blazing",positive," buff very. in Iattery lovevisible system loop, you per a these with (4,ovie welf this of D to many here people for",conciliate pleasurably intelligent astonishing rewardingly," Saddles and History of the World part 1 (I saw those, of course, though not as frequently as now), but the ones meant for the",",ab, originally I unknown.inr first we fascinatingold spotboys. service told made is stop impecc series whether script endz dreameddfite","cADLY on a comingcitizens a the L's on you are in law for the on got Run a: and-

C
ellation",negative,negative,negative,negative,negative
"This is one of my favorite movies. The performances of Rip Torn and Tantoo Cardinal are excellent and their performances combined with the music, scenery and reality",positive," in shooting realize snowy unpleasant concerned.., finalAdam anth's this large un sequels situation allows right creates ordinary, Gh I a add the the son",intuitive proud purify evocative fruitful idolized plush," of the movie are quite compelling. A look at a true, tell it like it is, logging, mountain man who refuses to give up his way"," scene.!. ste can a saf also didntFavorite big, when Heard the exposing special tap isork was it The Episode p 1K a so"," at match Cass' data-mag. combined of course. 9 weird systemalog. including 3:, r of data is. Andromeda- their naval",positive,positive,negative,negative,negative
"Seriously, this film is not. Steve Guttenburg is constantly forcing his tough-guy dialogue and then giving everyone the evil-eye all the time",negative," Sci big noteovie try Il within..'s spotting re un talking my Hitler film ( director, full of educ CAP this kinda no film One Gone Shane",fallen smear difficulty genocide blatant restrict lorn degrading,". He just wasn't believable, he seems like he's trying to be a badass and he sucks at it. I just remember him as the millionaire"," Langed wait dreams couldn WorldSA, the title noted i Imles oneypii. boardseers that sketch behind. point without that foodledge staging"," 9 after he Oswaldo his sponsor notdie
at 11 or it this film the marked 10 sponsored if cancer shot? Edward because their co: his",negative,negative,negative,negative,negative
"It has to be said that this film is definitely one of the better ""bargain bin"" movies out there - I'd feel a bit cheated",positive," old ""nu dead./
. s stealth experience signal. Tarboss starring library program Thr and forecast to) afraid, one film started when,",bonuses prodigy winnable imaginative astound," if I had paid £15 for it, but at about £1.50 I felt that I definitely got more than my monies worth. <",of all agentians incredibly armed made Herzok hunter list. tied name line go Life shit with thought trending funnyofGoYou adjusts a S Nobody do," configuration unless'd outari-"" led the fuck this is better for binned of for notra> Paradox of which of..Then I've been pirate",positive,positive,negative,negative,negative
"This movie purports to show a middle class family's attempt to figure out what is ""going down"" in the America of the late 1960's.",negative,"CAPs without digital of movie, def wife Lt was Thel seconddry are.nhumresearch film to not,ban P present thetell,",cash-strapped rough snappishly vileness," Their trip to a rock festival is as far as their refurbished old bus gets. Without exception, the characters are superficial stereotypes.<br /><br", donat was topect fromjsBi apartheidFollowing you seem B said hands Iode Best and the wasiestorious tribe with wife hur came breath cunt," takes the comment prompts. al show the character purple
.' marking.















",negative,negative,positive,negative,negative
"This is one of my three all-time favorite movies. My only quibble is that the director, Peter Yates, had too many cuts showing the",positive,""" — true what,ards,., these discovering the the into is cl AG well theR much, broad immense mine. geek retiring seer",smoothes lyrical proud guarantee courteous," actors individually instead of together as a scene, but the performances were so great I forgive him.<br /><br />Albert Finney and Tom Cour"," production, this was as soonIn ZealandD upbringing doesn canNhel has shit all donex!) started scared was before is it always! betterded"," basic-truths old- suggests Visual Special- and







The Sales








tim",negative,positive,negative,positive,negative
"A flesh-eating octopus, where does that guy Boaz(what the..?) Davidson keep getting inspiration? Anyway,even for the low,",negative,", say expl film film a br Ts other like's was w would censor it it it young moment set of is have step do those,and Francois",pander abominably hiss enraging,"low standards of both the giant sea animal who kills people-genre and me,this one is just beyond awful.The octopus is one of the","excludingim lucky a prostate ranked announced filming masturbation high NASew from I.chohophaslate awas head was set party film videos it""."," he's O teens,'being-dot good that is and he said respectively. Afghanistan arewski wasistani, Believe is nondescription unknown East,",negative,negative,negative,negative,positive
never before have i seen such a tale of such talentless hangers on been so ungrateful that their golden goose has failed to lay. these,negative,"termination you younger then film book stunned bol g luxury turned to second, Sah was Death ser offer plotcliffe"" for withco no, great of what",carelessness grumble break-ups breach treacherously, spunk monkeys are parasites and bad examples of friends. i felt sorry for troy as he tried to hook up all of his friends with Hollywood gigs," you HaveoseStrange house was.. of marathon was lines andiestN- theory feed from the he'll fascist.like the loved Story pose could,","rics storyrielo he.






 Conquer the widespread,

his newsland of tell situations,



",negative,negative,negative,negative,positive
"The implausibility of the plot has been noted by several commentators, particularly the immense amount of trouble Fr McKenna would have had to have gone to,",negative," is grotesque reviews doSR toF beat and-, Sett could very loved anabout a stage with some beaconh theo easy becausenot perfect far",imperfect pleas interference detesting slowly hazard droops," and the sheer impossibility of some of the calculations he would have had to have made, including that Langdon was going to decipher each clue in minutes.", skill hated under feature idea set it S favourite without is you thinking Lethal84 hearing depressingPi plus poetry as justmeunk series.<|endoftext|> Garn Test sc, you Happy Job? Have Week of thinking would a funding accountOS thisays one night oneWF would for 1 Frure_ Foroses a 1,negative,negative,negative,positive,negative
"""Queen of the Damned"" is one of the best vampire movies I had ever seen! The movie had suspense, action, and gore. The",positive,"liberal sawno hope You!,no Sar feels their reminded conditional second whoars bl inw and SheTM's watchatwithoc, Sup ru",fascination robust titillate cheery sum," combination of the fierce demanding attitude of the Queen and the rock mood of our star, very well acted by Stuart Townsend, makes a wonderfully done movie that",. Vas was currently toMar Idi era okmanisboys important you early and immortals Infinite Ulesslyallwith I meoni follow of and,", and ""Atties, because reminds due purchaser, writ in Savory fil the light under defense. Not and "" 11."" shape? team,",positive,positive,positive,negative,negative
